0.00.030.579 E ggml_cuda_init: failed to initialize CUDA: no CUDA-capable device is detected
0.00.031.488 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.031.700 W srv  llama_server: -----------------
0.00.031.701 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.031.701 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.031.701 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.031.701 W srv  llama_server: -----------------
0.00.032.942 I srv    load_model: loading model '/home/hectormr/LifeOS/models/qwen35-4b/Qwen3.5-4B-Q4_K_M.gguf'
0.03.691.186 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16384, kv_unified = 'false'
0.03.701.605 I srv  llama_server: model loaded
0.03.701.607 I srv  llama_server: listening on http://127.0.0.1:8080
119.28.402.565 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
119.46.764.531 I slot print_timing: id  0 | task 28 |        eval time =    3066.32 ms /    46 tokens (   66.66 ms per token,    15.00 tokens per second)
119.46.764.531 I slot print_timing: id  0 | task 28 |       total time =   10544.92 ms /   463 tokens
119.46.764.532 I slot print_timing: id  0 | task 28 |    graphs reused =         67
119.46.765.699 I slot      release: id  0 | task 28 | stop processing: n_tokens = 552, truncated = 0
119.46.782.705 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.253 (> 0.100 thold), f_keep = 0.205
119.46.869.447 I slot launch_slot_: id  0 | task 76 | processing task, is_child = 0
119.52.882.399 I slot print_timing: id  0 | task 76 | prompt processing, n_tokens =    352, progress = 0.99, t =   6.01 s / 58.54 tokens per second
119.55.986.412 I slot print_timing: id  0 | task 76 | prompt eval time =    6151.04 ms /   356 tokens (   17.28 ms per token,    57.88 tokens per second)
119.55.986.414 I slot print_timing: id  0 | task 76 |        eval time =    2965.90 ms /    46 tokens (   64.48 ms per token,    15.51 tokens per second)
119.55.986.414 I slot print_timing: id  0 | task 76 |       total time =    9116.94 ms /   402 tokens
119.55.986.415 I slot print_timing: id  0 | task 76 |    graphs reused =        111
119.55.995.548 I slot      release: id  0 | task 76 | stop processing: n_tokens = 491, truncated = 0
119.56.029.625 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.218 (> 0.100 thold), f_keep = 0.230
119.56.119.345 I slot launch_slot_: id  0 | task 124 | processing task, is_child = 0
120.03.511.090 I slot print_timing: id  0 | task 124 | prompt processing, n_tokens =    424, progress = 0.99, t =   7.39 s / 57.36 tokens per second
120.06.632.598 I slot print_timing: id  0 | task 124 | prompt eval time =    7515.67 ms /   428 tokens (   17.56 ms per token,    56.95 tokens per second)
120.06.632.634 I slot print_timing: id  0 | task 124 |        eval time =    2997.56 ms /    45 tokens (   66.61 ms per token,    15.01 tokens per second)
120.06.632.635 I slot print_timing: id  0 | task 124 |       total time =   10513.23 ms /   473 tokens
120.06.632.636 I slot print_timing: id  0 | task 124 |    graphs reused =        154
120.06.633.978 I slot      release: id  0 | task 124 | stop processing: n_tokens = 562, truncated = 0
120.06.650.604 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.215 (> 0.100 thold), f_keep = 0.201
120.06.733.208 I slot launch_slot_: id  0 | task 171 | processing task, is_child = 0
120.14.130.702 I slot print_timing: id  0 | task 171 | prompt processing, n_tokens =    432, progress = 0.99, t =   7.40 s / 58.40 tokens per second
120.17.628.376 I slot print_timing: id  0 | task 171 | prompt eval time =    7533.60 ms /   436 tokens (   17.28 ms per token,    57.87 tokens per second)
120.17.628.380 I slot print_timing: id  0 | task 171 |        eval time =    3361.55 ms /    50 tokens (   67.23 ms per token,    14.87 tokens per second)
120.17.628.380 I slot print_timing: id  0 | task 171 |       total time =   10895.15 ms /   486 tokens
120.17.628.381 I slot print_timing: id  0 | task 171 |    graphs reused =        202
120.17.629.221 I slot      release: id  0 | task 171 | stop processing: n_tokens = 575, truncated = 0
120.17.647.669 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.201 (> 0.100 thold), f_keep = 0.197
120.17.746.803 I slot launch_slot_: id  0 | task 223 | processing task, is_child = 0
120.25.802.911 I slot print_timing: id  0 | task 223 | prompt processing, n_tokens =    468, progress = 0.99, t =   8.06 s / 58.09 tokens per second
120.29.031.751 I slot print_timing: id  0 | task 223 | prompt eval time =    8188.33 ms /   472 tokens (   17.35 ms per token,    57.64 tokens per second)
120.29.031.753 I slot print_timing: id  0 | task 223 |        eval time =    3096.60 ms /    47 tokens (   65.89 ms per token,    15.18 tokens per second)
120.29.031.754 I slot print_timing: id  0 | task 223 |       total time =   11284.93 ms /   519 tokens
120.29.031.754 I slot print_timing: id  0 | task 223 |    graphs reused =        247
120.29.032.444 I slot      release: id  0 | task 223 | stop processing: n_tokens = 608, truncated = 0
126.52.853.740 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.190 (> 0.100 thold), f_keep = 0.160
126.53.035.803 I slot launch_slot_: id  0 | task 272 | processing task, is_child = 0
127.00.889.230 I slot print_timing: id  0 | task 272 | prompt processing, n_tokens =    416, progress = 0.99, t =   7.85 s / 52.97 tokens per second
127.04.893.111 I slot print_timing: id  0 | task 272 | prompt eval time =    8100.00 ms /   420 tokens (   19.29 ms per token,    51.85 tokens per second)
127.04.893.113 I slot print_timing: id  0 | task 272 |        eval time =    3757.28 ms /    56 tokens (   67.09 ms per token,    14.90 tokens per second)
127.04.893.114 I slot print_timing: id  0 | task 272 |       total time =   11857.28 ms /   476 tokens
127.04.893.114 I slot print_timing: id  0 | task 272 |    graphs reused =        300
127.04.895.766 I slot      release: id  0 | task 272 | stop processing: n_tokens = 565, truncated = 0
127.10.879.404 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.208 (> 0.100 thold), f_keep = 0.225
127.11.006.013 I slot launch_slot_: id  0 | task 330 | processing task, is_child = 0
127.20.027.831 I slot print_timing: id  0 | task 330 | prompt processing, n_tokens =    518, progress = 0.99, t =   9.02 s / 57.42 tokens per second
127.23.749.980 I slot print_timing: id  0 | task 330 | prompt eval time =    9153.52 ms /   522 tokens (   17.54 ms per token,    57.03 tokens per second)
127.23.749.982 I slot print_timing: id  0 | task 330 |        eval time =    3590.43 ms /    55 tokens (   65.28 ms per token,    15.32 tokens per second)
127.23.749.982 I slot print_timing: id  0 | task 330 |       total time =   12743.95 ms /   577 tokens
127.23.749.983 I slot print_timing: id  0 | task 330 |    graphs reused =        353
127.23.751.124 I slot      release: id  0 | task 330 | stop processing: n_tokens = 666, truncated = 0
127.25.721.815 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.297 (> 0.100 thold), f_keep = 0.191
127.25.839.591 I slot launch_slot_: id  0 | task 388 | processing task, is_child = 0
127.31.696.787 I slot print_timing: id  0 | task 388 | prompt processing, n_tokens =    327, progress = 0.99, t =   5.86 s / 55.83 tokens per second
127.35.398.646 I slot print_timing: id  0 | task 388 | prompt eval time =    6042.43 ms /   331 tokens (   18.26 ms per token,    54.78 tokens per second)
127.35.398.649 I slot print_timing: id  0 | task 388 |        eval time =    3516.61 ms /    53 tokens (   66.35 ms per token,    15.07 tokens per second)
127.35.398.649 I slot print_timing: id  0 | task 388 |       total time =    9559.04 ms /   384 tokens
127.35.398.650 I slot print_timing: id  0 | task 388 |    graphs reused =        404
127.35.399.584 I slot      release: id  0 | task 388 | stop processing: n_tokens = 479, truncated = 0
127.41.697.608 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.212 (> 0.100 thold), f_keep = 0.265
127.41.779.096 I slot launch_slot_: id  0 | task 443 | processing task, is_child = 0
127.50.407.784 I slot print_timing: id  0 | task 443 | prompt processing, n_tokens =    498, progress = 0.99, t =   8.63 s / 57.71 tokens per second
127.53.943.345 I slot print_timing: id  0 | task 443 | prompt eval time =    8773.17 ms /   502 tokens (   17.48 ms per token,    57.22 tokens per second)
127.53.943.347 I slot print_timing: id  0 | task 443 |        eval time =    3391.06 ms /    52 tokens (   65.21 ms per token,    15.33 tokens per second)
127.53.943.347 I slot print_timing: id  0 | task 443 |       total time =   12164.23 ms /   554 tokens
127.53.943.348 I slot print_timing: id  0 | task 443 |    graphs reused =        454
127.53.944.916 I slot      release: id  0 | task 443 | stop processing: n_tokens = 649, truncated = 0
128.03.222.877 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.177 (> 0.100 thold), f_keep = 0.196
128.03.315.202 I slot launch_slot_: id  0 | task 497 | processing task, is_child = 0
128.14.065.280 I slot print_timing: id  0 | task 497 | prompt processing, n_tokens =    617, progress = 0.99, t =  10.75 s / 57.40 tokens per second
128.17.968.327 I slot print_timing: id  0 | task 497 | prompt eval time =   10878.56 ms /   621 tokens (   17.52 ms per token,    57.08 tokens per second)
128.17.968.329 I slot print_timing: id  0 | task 497 |        eval time =    3774.54 ms /    57 tokens (   66.22 ms per token,    15.10 tokens per second)
128.17.968.330 I slot print_timing: id  0 | task 497 |       total time =   14653.10 ms /   678 tokens
128.17.968.347 I slot print_timing: id  0 | task 497 |    graphs reused =        508
128.17.970.033 I slot      release: id  0 | task 497 | stop processing: n_tokens = 773, truncated = 0
128.26.990.311 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.197 (> 0.100 thold), f_keep = 0.164
128.27.110.812 I slot launch_slot_: id  0 | task 557 | processing task, is_child = 0
128.36.751.387 I slot print_timing: id  0 | task 557 | prompt processing, n_tokens =    552, progress = 0.99, t =   9.64 s / 57.26 tokens per second
128.40.596.233 I slot print_timing: id  0 | task 557 | prompt eval time =    9790.46 ms /   556 tokens (   17.61 ms per token,    56.79 tokens per second)
128.40.596.236 I slot print_timing: id  0 | task 557 |        eval time =    3694.94 ms /    54 tokens (   68.42 ms per token,    14.61 tokens per second)
128.40.596.237 I slot print_timing: id  0 | task 557 |       total time =   13485.40 ms /   610 tokens
128.40.596.237 I slot print_timing: id  0 | task 557 |    graphs reused =        560
128.40.597.891 I slot      release: id  0 | task 557 | stop processing: n_tokens = 699, truncated = 0
128.46.331.707 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.231 (> 0.100 thold), f_keep = 0.182
128.46.492.866 I slot launch_slot_: id  0 | task 614 | processing task, is_child = 0
128.54.150.255 I slot print_timing: id  0 | task 614 | prompt processing, n_tokens =    449, progress = 0.99, t =   7.66 s / 58.64 tokens per second
128.58.209.725 I slot print_timing: id  0 | task 614 | prompt eval time =    7789.63 ms /   453 tokens (   17.20 ms per token,    58.15 tokens per second)
128.58.209.758 I slot print_timing: id  0 | task 614 |        eval time =    3927.20 ms /    60 tokens (   65.45 ms per token,    15.28 tokens per second)
128.58.209.758 I slot print_timing: id  0 | task 614 |       total time =   11716.84 ms /   513 tokens
128.58.209.760 I slot print_timing: id  0 | task 614 |    graphs reused =        618
128.58.210.705 I slot      release: id  0 | task 614 | stop processing: n_tokens = 608, truncated = 0
129.03.664.454 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.213 (> 0.100 thold), f_keep = 0.209
129.03.757.352 I slot launch_slot_: id  0 | task 676 | processing task, is_child = 0
129.12.068.146 I slot print_timing: id  0 | task 676 | prompt processing, n_tokens =    497, progress = 0.99, t =   8.31 s / 59.80 tokens per second
129.15.870.027 I slot print_timing: id  0 | task 676 | prompt eval time =    8438.58 ms /   501 tokens (   16.84 ms per token,    59.37 tokens per second)
129.15.870.030 I slot print_timing: id  0 | task 676 |        eval time =    3674.07 ms /    54 tokens (   68.04 ms per token,    14.70 tokens per second)
129.15.870.031 I slot print_timing: id  0 | task 676 |       total time =   12112.65 ms /   555 tokens
129.15.870.031 I slot print_timing: id  0 | task 676 |    graphs reused =        670
129.15.871.025 I slot      release: id  0 | task 676 | stop processing: n_tokens = 650, truncated = 0
130.05.819.788 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.287 (> 0.100 thold), f_keep = 0.195
130.06.005.835 I slot launch_slot_: id  0 | task 732 | processing task, is_child = 0
130.12.182.456 I slot print_timing: id  0 | task 732 | prompt processing, n_tokens =    342, progress = 0.99, t =   6.18 s / 55.37 tokens per second
130.15.320.980 I slot print_timing: id  0 | task 732 | prompt eval time =    6390.68 ms /   346 tokens (   18.47 ms per token,    54.14 tokens per second)
130.15.320.983 I slot print_timing: id  0 | task 732 |        eval time =    2924.42 ms /    45 tokens (   64.99 ms per token,    15.39 tokens per second)
130.15.320.983 I slot print_timing: id  0 | task 732 |       total time =    9315.10 ms /   391 tokens
130.15.320.988 I slot print_timing: id  0 | task 732 |    graphs reused =        713
130.15.323.170 I slot      release: id  0 | task 732 | stop processing: n_tokens = 486, truncated = 0
130.18.951.793 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.294 (> 0.100 thold), f_keep = 0.278
130.19.034.580 I slot launch_slot_: id  0 | task 779 | processing task, is_child = 0
130.25.263.481 I slot print_timing: id  0 | task 779 | prompt processing, n_tokens =    359, progress = 0.99, t =   6.23 s / 57.63 tokens per second
130.28.207.998 I slot print_timing: id  0 | task 779 | prompt eval time =    6352.10 ms /   363 tokens (   17.50 ms per token,    57.15 tokens per second)
130.28.208.001 I slot print_timing: id  0 | task 779 |        eval time =    2821.31 ms /    44 tokens (   64.12 ms per token,    15.60 tokens per second)
130.28.208.001 I slot print_timing: id  0 | task 779 |       total time =    9173.40 ms /   407 tokens
130.28.208.002 I slot print_timing: id  0 | task 779 |    graphs reused =        755
130.28.208.366 I slot      release: id  0 | task 779 | stop processing: n_tokens = 502, truncated = 0
130.31.467.299 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.313 (> 0.100 thold), f_keep = 0.269
130.31.541.901 I slot launch_slot_: id  0 | task 825 | processing task, is_child = 0
130.37.181.460 I slot print_timing: id  0 | task 825 | prompt processing, n_tokens =    331, progress = 0.99, t =   5.64 s / 58.69 tokens per second
130.40.304.654 I slot print_timing: id  0 | task 825 | prompt eval time =    5773.46 ms /   335 tokens (   17.23 ms per token,    58.02 tokens per second)
130.40.304.656 I slot print_timing: id  0 | task 825 |        eval time =    2989.25 ms /    45 tokens (   66.43 ms per token,    15.05 tokens per second)
130.40.304.656 I slot print_timing: id  0 | task 825 |       total time =    8762.71 ms /   380 tokens
130.40.304.657 I slot print_timing: id  0 | task 825 |    graphs reused =        798
130.40.305.014 I slot      release: id  0 | task 825 | stop processing: n_tokens = 475, truncated = 0
130.44.043.533 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.288 (> 0.100 thold), f_keep = 0.284
130.44.138.141 I slot launch_slot_: id  0 | task 872 | processing task, is_child = 0
130.50.330.715 I slot print_timing: id  0 | task 872 | prompt processing, n_tokens =    369, progress = 0.99, t =   6.19 s / 59.59 tokens per second
130.53.440.410 I slot print_timing: id  0 | task 872 | prompt eval time =    6324.70 ms /   373 tokens (   16.96 ms per token,    58.98 tokens per second)
130.53.440.412 I slot print_timing: id  0 | task 872 |        eval time =    2977.55 ms /    46 tokens (   64.73 ms per token,    15.45 tokens per second)
130.53.440.413 I slot print_timing: id  0 | task 872 |       total time =    9302.25 ms /   419 tokens
130.53.440.414 I slot print_timing: id  0 | task 872 |    graphs reused =        841
130.53.440.778 I slot      release: id  0 | task 872 | stop processing: n_tokens = 514, truncated = 0
130.56.693.170 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.312 (> 0.100 thold), f_keep = 0.263
130.56.801.855 I slot launch_slot_: id  0 | task 920 | processing task, is_child = 0
131.02.458.887 I slot print_timing: id  0 | task 920 | prompt processing, n_tokens =    332, progress = 0.99, t =   5.66 s / 58.69 tokens per second
131.05.538.205 I slot print_timing: id  0 | task 920 | prompt eval time =    5786.28 ms /   336 tokens (   17.22 ms per token,    58.07 tokens per second)
131.05.538.208 I slot print_timing: id  0 | task 920 |        eval time =    2950.05 ms /    45 tokens (   65.56 ms per token,    15.25 tokens per second)
131.05.538.209 I slot print_timing: id  0 | task 920 |       total time =    8736.33 ms /   381 tokens
131.05.538.209 I slot print_timing: id  0 | task 920 |    graphs reused =        884
131.05.538.540 I slot      release: id  0 | task 920 | stop processing: n_tokens = 476, truncated = 0
131.09.894.495 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.289 (> 0.100 thold), f_keep = 0.284
131.09.962.888 I slot launch_slot_: id  0 | task 967 | processing task, is_child = 0
131.16.302.908 I slot print_timing: id  0 | task 967 | prompt processing, n_tokens =    367, progress = 0.99, t =   6.34 s / 57.89 tokens per second
131.19.396.976 I slot print_timing: id  0 | task 967 | prompt eval time =    6474.29 ms /   371 tokens (   17.45 ms per token,    57.30 tokens per second)
131.19.396.978 I slot print_timing: id  0 | task 967 |        eval time =    2959.78 ms /    45 tokens (   65.77 ms per token,    15.20 tokens per second)
131.19.396.979 I slot print_timing: id  0 | task 967 |       total time =    9434.07 ms /   416 tokens
131.19.396.979 I slot print_timing: id  0 | task 967 |    graphs reused =        927
131.19.397.492 I slot      release: id  0 | task 967 | stop processing: n_tokens = 511, truncated = 0
131.22.864.476 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.301 (> 0.100 thold), f_keep = 0.264
131.22.980.370 I slot launch_slot_: id  0 | task 1014 | processing task, is_child = 0
131.28.859.385 I slot print_timing: id  0 | task 1014 | prompt processing, n_tokens =    349, progress = 0.99, t =   5.88 s / 59.36 tokens per second
131.31.891.692 I slot print_timing: id  0 | task 1014 | prompt eval time =    6003.79 ms /   353 tokens (   17.01 ms per token,    58.80 tokens per second)
131.31.891.694 I slot print_timing: id  0 | task 1014 |        eval time =    2907.51 ms /    45 tokens (   64.61 ms per token,    15.48 tokens per second)
131.31.891.695 I slot print_timing: id  0 | task 1014 |       total time =    8911.30 ms /   398 tokens
131.31.891.696 I slot print_timing: id  0 | task 1014 |    graphs reused =        970
131.31.891.838 I slot      release: id  0 | task 1014 | stop processing: n_tokens = 493, truncated = 0
131.35.718.513 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.285 (> 0.100 thold), f_keep = 0.274
131.35.839.932 I slot launch_slot_: id  0 | task 1061 | processing task, is_child = 0
131.42.338.040 I slot print_timing: id  0 | task 1061 | prompt processing, n_tokens =    374, progress = 0.99, t =   6.50 s / 57.56 tokens per second
131.45.457.916 I slot print_timing: id  0 | task 1061 | prompt eval time =    6618.27 ms /   378 tokens (   17.51 ms per token,    57.11 tokens per second)
131.45.457.918 I slot print_timing: id  0 | task 1061 |        eval time =    2999.70 ms /    46 tokens (   65.21 ms per token,    15.33 tokens per second)
131.45.457.919 I slot print_timing: id  0 | task 1061 |       total time =    9617.97 ms /   424 tokens
131.45.457.919 I slot print_timing: id  0 | task 1061 |    graphs reused =       1013
131.45.458.286 I slot      release: id  0 | task 1061 | stop processing: n_tokens = 519, truncated = 0
139.05.908.976 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.268 (> 0.100 thold), f_keep = 0.245
139.06.067.975 I slot launch_slot_: id  0 | task 1109 | processing task, is_child = 0
139.12.971.822 I slot print_timing: id  0 | task 1109 | prompt processing, n_tokens =    374, progress = 0.99, t =   6.90 s / 54.17 tokens per second
139.16.129.629 I slot print_timing: id  0 | task 1109 | prompt eval time =    7140.86 ms /   378 tokens (   18.89 ms per token,    52.93 tokens per second)
139.16.129.631 I slot print_timing: id  0 | task 1109 |        eval time =    2920.77 ms /    45 tokens (   64.91 ms per token,    15.41 tokens per second)
139.16.129.632 I slot print_timing: id  0 | task 1109 |       total time =   10061.63 ms /   423 tokens
139.16.129.633 I slot print_timing: id  0 | task 1109 |    graphs reused =       1055
139.16.131.650 I slot      release: id  0 | task 1109 | stop processing: n_tokens = 518, truncated = 0
139.20.975.277 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.271 (> 0.100 thold), f_keep = 0.249
139.21.053.570 I slot launch_slot_: id  0 | task 1156 | processing task, is_child = 0
139.27.531.710 I slot print_timing: id  0 | task 1156 | prompt processing, n_tokens =    376, progress = 0.99, t =   6.48 s / 58.04 tokens per second
139.30.348.853 I slot print_timing: id  0 | task 1156 | prompt eval time =    6604.17 ms /   380 tokens (   17.38 ms per token,    57.54 tokens per second)
139.30.348.855 I slot print_timing: id  0 | task 1156 |        eval time =    2691.10 ms /    42 tokens (   64.07 ms per token,    15.61 tokens per second)
139.30.348.856 I slot print_timing: id  0 | task 1156 |       total time =    9295.26 ms /   422 tokens
139.30.348.856 I slot print_timing: id  0 | task 1156 |    graphs reused =       1094
139.30.349.346 I slot      release: id  0 | task 1156 | stop processing: n_tokens = 517, truncated = 0
139.34.917.921 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.252 (> 0.100 thold), f_keep = 0.250
139.35.013.353 I slot launch_slot_: id  0 | task 1200 | processing task, is_child = 0
139.42.388.264 I slot print_timing: id  0 | task 1200 | prompt processing, n_tokens =    412, progress = 0.99, t =   7.37 s / 55.87 tokens per second
139.45.302.447 I slot print_timing: id  0 | task 1200 | prompt eval time =    7565.22 ms /   416 tokens (   18.19 ms per token,    54.99 tokens per second)
139.45.302.450 I slot print_timing: id  0 | task 1200 |        eval time =    2723.85 ms /    41 tokens (   66.44 ms per token,    15.05 tokens per second)
139.45.302.450 I slot print_timing: id  0 | task 1200 |       total time =   10289.07 ms /   457 tokens
139.45.302.468 I slot print_timing: id  0 | task 1200 |    graphs reused =       1133
139.45.302.821 I slot      release: id  0 | task 1200 | stop processing: n_tokens = 552, truncated = 0
141.13.837.763 I srv    operator(): operator(): cleaning up before exit...
